140	416	I forgot it points to the same thing and not a copy of it like in python	01/17/2023 13:13:41
140	252	didn't realize there was no static in front of String	01/17/2023 13:16:08
140	224	Missed the colon instead of the curly brackets	01/17/2023 13:16:24
140	248	pointer check	01/17/2023 13:16:38
140	243	It gets overwrited? What because it's static?	01/17/2023 13:17:46
140	419	pointer check. Jim points to dwight so any changes to either change the object for both pointers	01/17/2023 13:18:42
140	235	I misread this	01/17/2023 13:19:42
140	223	Main fulfills the role of function?	01/17/2023 13:20:31
140	422	pointer check	01/17/2023 13:20:38
144	401	a and b point to the same value, until a chages	01/18/2023 00:21:14
144	227	We are printing lime specifically not just anything	01/18/2023 00:22:25
144	226	I didn't know java and print ints	01/18/2023 00:23:39
144	410	b doesn't change pointer from 43, I guess	01/18/2023 00:24:48
144	257	I'm not sure actually	01/18/2023 00:25:58
149	233	misunderstand Python syntax	01/18/2023 10:44:49
156	248	I thought that referencing color or brand would confuse the code because it's a class variable, but it turns out that the method can change class variables because they were already declared.	01/18/2023 11:10:24
38	254	I didn't think to look whether there was a print command in the code	01/18/2023 11:38:47
38	416	I didn't think that jan.jersey_number would also update when michael.jersey_number was increased	01/18/2023 11:39:36
38	224	Error regarding bracket formatting	01/18/2023 11:40:16
38	420	I didn't think that forrest.animal would also update	01/18/2023 11:45:49
38	250	I didn't see that brand is static	01/18/2023 11:47:09
140	416	I forgot it points to the same thing and not a copy of it like in python	01/18/2023 11:56:52
158	226	I thought since it had to be similar to the python code we had to make a method to add the numbers	01/19/2023 19:11:54
161	253	Unsure that you could call randomMethod() from MyClass as it wasn't a static method	01/19/2023 21:55:31
161	240	Misclicked	01/19/2023 21:55:44
161	231	Didn't pay attention to type declarations 	01/19/2023 21:56:34
176	252	I did not notice that the func() method was non-static.	01/27/2023 13:49:26
140	225	I thought you needed to do this.add, but it makes sense given that it's inside the class. The only thing is I don't know what the point of "this" is anymore outside of defining instance attributes	01/30/2023 09:34:18
140	397	Ohhhhh, it doesn't work because webreg doesn't contain information()	01/30/2023 09:35:02
125	210	Java non-static methods cannot be referenced from static context!	01/30/2023 15:27:03
140	759	didn't pay close enough attention to the for loop	02/01/2023 07:35:14
140	215	that's nuts. So using an int array must just get rid of the decimals	02/01/2023 07:35:48
140	384	oooohhhhhh, the default value of a declared int is 0!	02/01/2023 07:37:30
140	325	bro this is literally a type difference that's so mean	02/01/2023 07:38:12
47	626	this is the place to write why I think I got this question wrong :) 	02/01/2023 15:01:35
140	766	rip	02/04/2023 11:55:05
140	386	didn't realize the variables were named differently	02/04/2023 11:55:42
140	264	confused get color and calories	02/04/2023 15:40:00
140	324	didn't realize that it wasn't printPersonInfo()	02/04/2023 15:41:10
140	230	no semi-colons lol	02/04/2023 15:41:29
140	225	didn't declare x, y, or z as integers	02/05/2023 07:46:26
140	765	I just straight up didn't read this	02/05/2023 07:47:16
140	380	you don't have to @Override?	02/05/2023 07:47:57
168	762	I don't really understand how Generics work	02/05/2023 10:34:28
168	389	Is the default int just 0?	02/05/2023 10:35:04
168	328	The class cannot implement the methods	02/05/2023 10:39:34
168	766	Is object also in the super Shape?	02/05/2023 11:21:48
195	237	no return type needed (did not see "type")	02/05/2023 11:31:58
195	339	line needed: Apple.newRevenue = Apple.basicRevenue + Apple.changeRevenue;	02/05/2023 13:10:04
199	220	?	02/05/2023 15:23:32
199	766	??	02/05/2023 15:26:04
176	332	I simply did not know the definition of overloading in Java.	02/05/2023 18:24:23
165	392	v	02/05/2023 21:56:36
140	373	didn't realize a was true, but it makes sense considering interfaces are specifically made for inheritance	02/06/2023 07:01:36
140	764	<T> needs to be in front of voi	02/06/2023 07:02:06
140	395	DSC 30 extends webreg but webreg does not extend DSC 30	02/06/2023 07:05:50
140	381	@Override?	02/06/2023 07:10:18
168	399	I thought they pointed to the same box so it changed for both variables	02/06/2023 08:34:47
208	374	不了解	02/06/2023 16:00:39
208	243	static	02/06/2023 16:07:15
208	392	confused	02/06/2023 16:07:51
208	371	need to implement each method	02/06/2023 17:16:25
208	375	interface not a class	02/06/2023 17:17:56
208	257	confused	02/06/2023 17:18:15
156	260	misread	02/06/2023 20:30:17
156	612	misread	02/06/2023 20:31:16
156	605	I think this is just wrong???	02/06/2023 20:34:00
156	381	basically the same like what	02/06/2023 20:36:03
156	379	trolled	02/06/2023 20:36:21
156	376	interfaces aren't classes	02/06/2023 21:24:15
